,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ahipara,-35.1667,173.1667,19.77,76,94,2.79,NZ,1619145175
1,arman,59.7,150.1667,0.22,98,100,2.89,RU,1619145206
2,hobart,-42.8794,147.3294,14.0,47,40,4.63,AU,1619145206
3,punta arenas,-53.15,-70.9167,8.0,93,75,3.09,CL,1619145206
4,may pen,17.9645,-77.2451,27.0,74,20,2.06,JM,1619145207
5,cape town,-33.9258,18.4232,13.89,100,20,5.14,ZA,1619145037
6,phan thiet,10.9333,108.1,28.96,71,100,2.3,VN,1619144970
7,albany,42.6001,-73.9662,3.33,44,11,6.24,US,1619145017
8,ushuaia,-54.8,-68.3,5.0,93,75,5.14,AR,1619145094
9,ponta do sol,32.6667,-17.1,16.67,84,100,0.89,PT,1619145207
10,busselton,-33.65,115.3333,22.04,43,63,2.18,AU,1619145207
11,port jervis,41.3751,-74.6927,3.89,70,60,4.57,US,1619145208
12,luganville,-15.5333,167.1667,30.12,66,42,4.01,VU,1619145208
13,makakilo city,21.3469,-158.0858,29.0,47,90,2.06,US,1619145208
14,rikitea,-23.1203,-134.9692,25.55,77,100,6.19,PF,1619145209
15,millinocket,45.6573,-68.7098,-1.0,64,75,3.6,US,1619145074
16,mehamn,71.0357,27.8492,0.02,80,97,0.59,NO,1619145209
17,zhangye,38.9342,100.4517,16.0,25,85,9.26,CN,1619145209
18,saint-philippe,-21.3585,55.7679,25.0,73,90,6.17,RE,1619145209
19,caernarfon,53.1413,-4.2702,8.0,49,0,1.54,GB,1619145210
20,laguna,38.421,-121.4238,15.0,63,1,5.66,US,1619145149
21,atuona,-9.8,-139.0333,26.76,81,84,9.55,PF,1619145210
22,kodiak,57.79,-152.4072,6.0,93,90,5.66,US,1619145210
23,hofn,64.2539,-15.2082,3.3,77,100,0.89,IS,1619145211
24,klaksvik,62.2266,-6.589,5.0,93,75,2.06,FO,1619145211
25,tsabong,-26.0217,22.401,17.17,36,0,2.64,BW,1619145211
26,mataura,-46.1927,168.8643,12.22,84,100,4.47,NZ,1619145211
27,port antonio,18.18,-76.4612,27.0,74,20,2.06,JM,1619145212
28,castro,-24.7911,-50.0119,10.96,95,9,1.35,BR,1619145212
29,tawang,27.5833,91.8667,13.25,34,31,2.11,IN,1619145212
30,ponta delgada,37.7333,-25.6667,15.0,72,40,11.83,PT,1619145212
31,bluff,-46.6,168.3333,12.22,84,100,4.47,NZ,1619145213
32,norman wells,65.282,-126.8329,-2.0,54,75,4.12,CA,1619145213
33,lebu,-37.6167,-73.65,10.21,77,48,1.54,CL,1619145213
34,alta floresta,-9.8756,-56.0861,21.44,95,41,1.01,BR,1619144987
35,westport,41.1415,-73.3579,5.0,55,78,0.45,US,1619145056
36,faanui,-16.4833,-151.75,27.4,72,11,6.06,PF,1619145214
37,mar del plata,-38.0023,-57.5575,19.44,94,99,2.06,AR,1619145007
38,mikuni,36.2171,136.1519,19.0,39,75,3.6,JP,1619145214
39,upernavik,72.7868,-56.1549,-9.51,88,100,2.06,GL,1619145214
40,zhaodong,46.0833,125.9833,15.0,63,75,3.0,CN,1619145214
41,new norfolk,-42.7826,147.0587,13.33,69,97,0.45,AU,1619145215
42,beloha,-25.1667,45.05,19.88,89,0,4.66,MG,1619145215
43,arraial do cabo,-22.9661,-42.0278,22.82,77,6,9.46,BR,1619145215
44,la ronge,55.1001,-105.2842,-4.0,42,70,2.57,CA,1619145215
45,avarua,-21.2078,-159.775,28.0,69,20,8.23,CK,1619145009
46,road town,18.4167,-64.6167,26.11,78,40,6.69,VG,1619145078
47,bubaque,11.2833,-15.8333,25.57,68,37,5.52,GW,1619145216
48,saint-denis,48.9167,2.3333,8.89,61,0,3.09,FR,1619145216
49,tigil,57.8,158.6667,3.24,84,100,1.46,RU,1619145216
50,farafangana,-22.8167,47.8333,21.53,84,7,1.1,MG,1619145217
51,port hardy,50.6996,-127.4199,14.0,41,40,4.63,CA,1619145007
52,vardo,70.3705,31.1107,0.0,86,75,2.57,NO,1619145217
53,dikson,73.5069,80.5464,0.32,91,100,10.46,RU,1619145186
54,maningrida,-12.0667,134.2667,31.17,52,78,6.47,AU,1619144932
55,bethel,41.3712,-73.414,4.0,48,1,6.17,US,1619145217
56,nanortalik,60.1432,-45.2371,1.72,85,43,2.48,GL,1619145218
57,nikolskoye,59.7035,30.7861,6.0,81,20,3.0,RU,1619145218
58,tynset,62.2759,10.7824,-3.0,80,20,9.26,NO,1619145218
59,mulege,26.8833,-111.9833,19.86,49,5,1.47,MX,1619145218
60,kytmanovo,53.4593,85.4479,2.78,59,4,5.59,RU,1619145219
61,sao miguel do araguaia,-13.275,-50.1628,21.74,83,25,1.15,BR,1619145219
62,andenes,69.3143,16.1194,0.0,74,75,4.12,NO,1619145219
63,jamestown,42.097,-79.2353,-1.0,86,20,7.2,US,1619145160
64,kapaa,22.0752,-159.319,26.11,65,20,4.63,US,1619145220
65,port augusta,-32.5,137.7667,19.0,52,42,4.12,AU,1619145220
66,sola,-13.8833,167.55,30.0,74,75,1.03,VU,1619145220
67,hermanus,-34.4187,19.2345,12.78,92,0,1.79,ZA,1619145221
68,thompson,55.7435,-97.8558,-8.0,67,75,5.14,CA,1619145221
69,victoria,22.2855,114.1577,28.33,65,0,2.24,HK,1619145037
70,souillac,-20.5167,57.5167,22.0,100,75,1.54,MU,1619145221
71,kapit,2.0167,112.9333,31.73,59,54,0.18,MY,1619145221
72,port elizabeth,-33.918,25.5701,18.0,88,0,7.2,ZA,1619145222
73,bredasdorp,-34.5322,20.0403,11.0,93,2,2.06,ZA,1619145008
74,ankazoabo,-22.2833,44.5167,19.12,76,0,2.17,MG,1619145222
75,tasiilaq,65.6145,-37.6368,-2.0,54,75,6.17,GL,1619145222
76,talnakh,69.4865,88.3972,0.52,98,100,6.02,RU,1619145190
77,east london,-33.0153,27.9116,18.32,82,8,4.74,ZA,1619145181
